JunctionName,Date,timeOfDay,travel_Direction_in,travel_Direction_out,Weather_Conditions,JunctionSpeedLimit,VehicleSpeed,VehicleType,elctricHybrid
King Street/Queen Avenue,26/08/2024,00:07:02,N,S,Overcast,20,30,Van,True
King Street/Queen Avenue,26/08/2024,00:17:23,E,W,Overcast,20,32,Van,False
Church Road/Hill Lane,26/08/2024,00:18:57,NW,SW,Overcast,30,26,Van,False
Church Road/Hill Lane,26/08/2024,00:29:53,SE,E,Overcast,30,5,Motorcycle,False
Church Road/Hill Lane,26/08/2024,00:34:11,N,N,Overcast,30,21,Van,True
Church Road/Hill Lane,26/08/2024,00:44:38,W,E,Overcast,30,6,Bus,True
Church Road/Hill Lane,26/08/2024,00:46:53,NE,N,Overcast,30,9,Van,False
King Street/Queen Avenue,26/08/2024,00:53:52,W,NW,Overcast,20,35,Motorcycle,False
Church Road/Hill Lane,26/08/2024,00:57:41,SE,NW,Overcast,30,24,Bus,False
Church Road/Hill Lane,26/08/2024,01:00:48,N,S,Overcast,30,35,Van,False
King Street/Queen Avenue,26/08/2024,01:07:01,NW,SE,Overcast,20,35,Scooter,False
King Street/Queen Avenue,26/08/2024,01:09:51,NE,NW,Overcast,20,25,Truck,False
Church Road/Hill Lane,26/08/2024,01:14:53,SE,W,Overcast,30,31,Motorcycle,True
Church Road/Hill Lane,26/08/2024,01:20:27,E,N,Overcast,30,41,Buss,True
Church Road/Hill Lane,26/08/2024,01:22:07,S,SW,Overcast,30,10,Motorbike,False
King Street/Queen Avenue,26/08/2024,01:28:46,S,SE,Overcast,20,18,Car,False
King Street/Queen Avenue,26/08/2024,01:38:44,W,SE,Overcast,20,28,Bicycle,False
King Street/Queen Avenue,26/08/2024,01:44:41,SW,S,Overcast,20,16,Buss,True
Church Road/Hill Lane,26/08/2024,01:50:30,NE,SE,Overcast,30,40,Buss,True
Church Road/Hill Lane,26/08/2024,01:52:55,NE,NW,Overcast,30,38,Bicycle,False
King Street/Queen Avenue,26/08/2024,02:02:49,NW,E,Overcast,20,19,Motorbike,False
Church Road/Hill Lane,26/08/2024,02:05:19,S,W,Overcast,30,12,Truck,False
Church Road/Hill Lane,26/08/2024,02:06:34,E,NE,Overcast,30,10,Motorbike,False
King Street/Queen Avenue,26/08/2024,02:13:00,NW,NW,Overcast,20,20,Car,False
Church Road/Hill Lane,26/08/2024,02:13:57,S,N,Overcast,30,21,Motorcycle,True
Church Road/Hill Lane,26/08/2024,02:15:23,SW,E,Overcast,30,12,Bus,False
King Street/Queen Avenue,26/08/2024,02:18:01,SE,E,Overcast,20,34,Motorcycle,False
King Street/Queen Avenue,26/08/2024,02:22:53,E,W,Overcast,20,32,Bus,True
King Street/Queen Avenue,26/08/2024,02:31:10,SE,N,Overcast,20,22,Car,False
Church Road/Hill Lane,26/08/2024,02:35:54,N,NW,Overcast,30,13,Bus,False
King Street/Queen Avenue,26/08/2024,02:41:05,NE,NW,Overcast,20,19,Van,False
Church Road/Hill Lane,26/08/2024,02:43:11,N,S,Overcast,30,13,Buss,False
Church Road/Hill Lane,26/08/2024,02:45:52,NE,E,Overcast,30,32,Buss,True
King Street/Queen Avenue,26/08/2024,02:46:40,SW,SW,Overcast,20,24,Van,False
Church Road/Hill Lane,26/08/2024,02:47:56,N,NW,Overcast,30,19,Scooter,True
King Street/Queen Avenue,26/08/2024,02:51:47,N,W,Overcast,20,27,Motorcycle,True
Church Road/Hill Lane,26/08/2024,02:53:27,NW,E,Overcast,30,22,Bicycle,True
Church Road/Hill Lane,26/08/2024,03:00:11,W,E,Overcast,30,5,Car,True
Church Road/Hill Lane,26/08/2024,03:03:28,SW,SW,Overcast,30,12,Bicycle,True
Church Road/Hill Lane,26/08/2024,03:05:06,SW,SE,Overcast,30,11,Car,True
Church Road/Hill Lane,26/08/2024,03:05:24,SE,SW,Overcast,30,19,Buss,False
Church Road/Hill Lane,26/08/2024,03:09:07,SW,N,Overcast,30,30,Buss,False
King Street/Queen Avenue,26/08/2024,03:09:25,N,E,Overcast,20,28,Buss,True
King Street/Queen Avenue,26/08/2024,03:10:17,E,NW,Overcast,20,32,Motorcycle,True
